195,40,17,220,,,,19,0,0,,,,,,
205,45,17,220,,,,20,0,0,,,,,,,
215,40,17,220,,,,23,0,0,,,,,,,
215,45,17,220,,,,23,7,8,,,,24.8,,,
225,45,17,220,,,,22,7,9,,,,25.1,,,
225,40,18,220,,,,22,7.5,9,,,,25,,,
225,40,18,220,,,,22,7.5,90,,,,25,,,
235,40,18,220,,,,23,0,0,,,,,,,
235,40,18,220,,,,23,8,9.5,,,,25.4,,,
235,45,18,220,,,,27,7.5,9,,,,26.2,,,
215,35,19,220,,,,21,0,0,,,,,,,
225,40,19,220,,,,23,7,9,,,,26.1,,,
235,35,19,220,,,,24,8,9.5,,,,25.5,,,
235,40,19,220,,,,25,8,9.5,,,,26.4,,,
245,35,19,220,,,,26,8,9.5,,,,26,,,
275,30,19,220,,,,27,9,10,,,,25.6,,,
225,30,20,220,,,,22,7.5,9,,,,25.5,,,
235,30,20,220,,,,24,8,9,,,,25.7,,,
245,30,20,220,,,,29,8,9,,,,25.8,,,
245,35,20,220,,,,28,8,9.5,,,,,,,
255,30,20,220,,,,26,9,11,,,,26.2,,,
285,25,20,220,,,,27,10,11,,,,25.6,,,
295,25,20,220,,,,29,10.5,11.5,,,,25.8,,,
305,25,20,220,,,,29,11,12,,,,26.2,,,
305,30,20,220,,,,32,10.5,11.5,,,,27.2,,,
325,25,20,220,,,,29,11.5,12,,,,26.4,,,
245,35,21,220,,,,27,8,9.5,,,,27.8,,,
255,30,21,220,,,,27,8.5,9.5,,,,27.5,,,
265,30,21,220,,,,26,0,0,,,,,,,
285,30,21,220,,,,31,9.5,10.5,,,,27.8,,,
295,25,21,220,,,,31,10,11,,,,26.8,,,
375,20,21,220,,,,35,0,0,,,,26.9,,,
245,30,22,220,,,,26,8,9.5,,,,27.9,,,
265,30,22,220,,,,30,9,10.5,,,,28.3,,,
285,25,22,220,,,,30,10,11,,,,27.8,,,
295,25,22,220,,,,32,10.5,11.5,,,,27.8,,,
305,30,22,220,,,,36,10.5,11.5,,,,30,,,
315,25,22,220,,,,33,11,12,,,,28.2,,,
315,25,22,220,,,,33,11,12,,,,28.2,,,
